line	Alpha	Alpha_SE	Beta	Beta_SE	condition	peak_genotype
RIL154	3.27026113061243	2.86703554986242e-05	0.00112319950020206	9.90456785086478e-05	All	peakLer
RIL154	3.27026113061243	2.86703554986242e-05	0.00112319950020206	9.90456785086478e-05	All	peakLer
RIL155	4.54441595334065	6.25587213205223e-05	0.00197067363694524	0.000273924492865702	All	peakCvi
RIL155	4.54441595334065	6.25587213205223e-05	0.00197067363694524	0.000273924492865702	All	peakCvi
RIL158	2.55841774449626	1.98308161293627e-05	0.000932568944582364	7.26265962394761e-05	All	peakLer
RIL158	2.55841774449626	1.98308161293627e-05	0.000932568944582364	7.26265962394761e-05	All	peakLer
RIL162	4.55154375655985	7.19075859780938e-05	0.00187363918461512	0.000298706489065441	All	peakCvi
RIL162	4.55154375655985	7.19075859780938e-05	0.00187363918461512	0.000298706489065441	All	peakCvi
RIL163	3.54518220228757	3.76439126130097e-05	0.00128095674134956	0.000136884766164432	All	peakLer
RIL163	3.54518220228757	3.76439126130097e-05	0.00128095674134956	0.000136884766164432	All	peakLer
RIL165	2.86552371643744	2.41421058970486e-05	0.00113783870141077	9.64076591059573e-05	All	peakLer
RIL165	2.86552371643744	2.41421058970486e-05	0.00113783870141077	9.64076591059573e-05	All	peakLer
RIL166	2.72328201215478	1.63552711262436e-05	0.00103457224149584	6.24555905489688e-05	All	peakLer
RIL166	2.72328201215478	1.63552711262436e-05	0.00103457224149584	6.24555905489688e-05	All	peakLer
RIL167	3.50523465276337	2.54134124480027e-05	0.00144443707612357	0.000105478238861014	All	peakLer
RIL167	3.50523465276337	2.54134124480027e-05	0.00144443707612357	0.000105478238861014	All	peakLer
RIL168	3.15488122372453	4.01401640812112e-05	0.00133451029801762	0.000170906391588912	All	peakCvi
RIL168	3.15488122372453	4.01401640812112e-05	0.00133451029801762	0.000170906391588912	All	peakCvi
RIL170	3.86395675301532	3.4976525280174e-05	0.0013230476825938	0.000120562027205493	All	peakLer
RIL170	3.86395675301532	3.4976525280174e-05	0.0013230476825938	0.000120562027205493	All	peakLer
RIL172	3.05027908029034	1.6372504458877e-05	0.00101575875949084	5.48102793598604e-05	All	peakLer
RIL172	3.05027908029034	1.6372504458877e-05	0.00101575875949084	5.48102793598604e-05	All	peakLer
RIL173	1.86702966319198	1.82930449110048e-05	0.000667908312305889	6.56650378359448e-05	All	peakLer
