,,,,,,,,,,,
Data_Type,Sample_name,Sample_id,Genotype (RIL_ID),Generation,Lineage,Sublineage,File_Name_Processed,Raw_File_Name_R1,Raw_File_Name_R2,Raw_File2_Name_R1,Raw_File2_Name_R2
WGBS,RIL36_G02_L02_3,RIL36_G02_L02_3_S173_L004,RIL36,2,2,3,methylome_RIL36_G02_L02_3_All.txt,RIL36_G02_L02_3_S173_L004_1.fastq.gz,RIL36_G02_L02_3_S173_L004_2.fastq.gz,,
WGBS,RIL36_G02_L02_4,RIL36_G02_L02_4_S126_L003,RIL36,2,2,4,methylome_RIL36_G02_L02_4_All.txt,RIL36_G02_L02_4_S126_L003_1.fastq.gz,RIL36_G02_L02_4_S126_L003_2.fastq.gz,,
WGBS,RIL36_G09_L02_1,RIL36_G09_L02_1_S21_L002,RIL36,9,2,1,methylome_RIL36_G09_L02_1_All.txt,RIL36_G09_L02_1_S21_L002_1.fastq.gz,RIL36_G09_L02_1_S21_L002_2.fastq.gz,,
WGBS,RIL37_G02_L01_4,RIL37_G02_L01_4_S17_L002,RIL37,2,1,4,methylome_RIL37_G02_L01_4_All.txt,RIL37_G02_L01_4_S17_L002_1.fastq.gz,RIL37_G02_L01_4_S17_L002_2.fastq.gz,,
WGBS,RIL37_G02_L02_4,RIL37_G02_L02_4_S64_L003,RIL37,2,2,4,methylome_RIL37_G02_L02_4_All.txt,RIL37_G02_L02_4_S64_L003_1.fastq.gz,RIL37_G02_L02_4_S64_L003_2.fastq.gz,,
WGBS,RIL37_G09_L01_2,RIL37_G09_L01_2_S103_L003,RIL37,9,1,2,methylome_RIL37_G09_L01_2_All.txt,RIL37_G09_L01_2_S103_L003_1.fastq.gz,RIL37_G09_L01_2_S103_L003_2.fastq.gz,,
WGBS,RIL50_G02_L01_3,RIL50_G02_L01_3_S167_L004,RIL50,2,1,3,methylome_RIL50_G02_L01_3_All.txt,RIL50_G02_L01_3_S167_L004_1.fastq.gz,RIL50_G02_L01_3_S167_L004_2.fastq.gz,,
WGBS,RIL50_G02_L01_4,RIL50_G02_L01_4_S25_L001,RIL50,2,1,4,methylome_RIL50_G02_L01_4_All.txt,RIL50_G02_L01_4_S25_L001_1.fastq.gz,RIL50_G02_L01_4_S25_L001_2.fastq.gz,,
WGBS,RIL50_G02_L02_3,RIL50_G02_L02_3_S3_L001,RIL50,2,2,3,methylome_RIL50_G02_L02_3_All.txt,RIL50_G02_L02_3_S3_L001_1.fastq.gz,RIL50_G02_L02_3_S3_L001_2.fastq.gz,,
WGBS,RIL50_G09_L01_2,RIL50_G09_L01_2_S181_L004,RIL50,9,1,2,methylome_RIL50_G09_L01_2_All.txt,RIL50_G09_L01_2_S181_L004_1.fastq.gz,RIL50_G09_L01_2_S181_L004_2.fastq.gz,,
WGBS,RIL50_G09_L02_2,RIL50_G09_L02_2_S114_L003,RIL50,9,2,2,methylome_RIL50_G09_L02_2_All.txt,RIL50_G09_L02_2_S114_L003_1.fastq.gz,RIL50_G09_L02_2_S114_L003_2.fastq.gz,,
WGBS,RIL54_G02_L02_3,RIL54_G02_L02_3_S42,RIL54,2,2,3,methylome_RIL54_G02_L02_3_All.txt,RIL54_G02_L02_3_S42_1.fastq.gz,RIL54_G02_L02_3_S42_2.fastq.gz,,
WGBS,RIL54_G02_L01_3,RIL54_G02_L01_3_S78_L003,RIL54,2,1,3,methylome_RIL54_G02_L01_3_All.txt,RIL54_G02_L01_3_S78_L003_1.fastq.gz,RIL54_G02_L01_3_S78_L003_2.fastq.gz,,
WGBS,RIL54_G02_L01_4,RIL54_G02_L01_4_S91_L003,RIL54,2,1,4,methylome_RIL54_G02_L01_4_All.txt,RIL54_G02_L01_4_S91_L003_1.fastq.gz,RIL54_G02_L01_4_S91_L003_2.fastq.gz,,
WGBS,RIL54_G02_L02_4,RIL54_G02_L02_4_S18_L001,RIL54,2,2,4,methylome_RIL54_G02_L02_4_All.txt,RIL54_G02_L02_4_S18_L001_1.fastq.gz,RIL54_G02_L02_4_S18_L001_2.fastq.gz,,
WGBS,RIL54_G09_L01_2,RIL54_G09_L01_2_S63_L003,RIL54,9,1,2,methylome_RIL54_G09_L01_2_All.txt,RIL54_G09_L01_2_S63_L003_1.fastq.gz,RIL54_G09_L01_2_S63_L003_2.fastq.gz,,
WGBS,RIL55_G02_L01_3,RIL55_G02_L01_3_S190_L004,RIL55,2,1,3,methylome_RIL55_G02_L01_3_All.txt,RIL55_G02_L01_3_S190_L004_1.fastq.gz,RIL55_G02_L01_3_S190_L004_2.fastq.gz,,
WGBS,RIL55_G02_L01_4,RIL55_G02_L01_4_S83_L003,RIL55,2,1,4,methylome_RIL55_G02_L01_4_All.txt,RIL55_G02_L01_4_S83_L003_1.fastq.gz,RIL55_G02_L01_4_S83_L003_2.fastq.gz,,
